# YIELD POINT COVERAGE
TOTAL	COVERED	%
46	0	0.0
# YIELD POINTS
COVERED	SOURCE FILE	LINE	SIGNATURE
N	SetTest.java	17	field-set(pc.set.SetTest.PRINT_LOCK)
N	SetTest.java	18	field-set(pc.set.SetTest.errors)
N	SetTest.java	19	field-set(pc.set.SetTest.expectedSetSize)
N	SetTest.java	23	field-set(pc.set.SetTest.n)
N	SetTest.java	29	field-set(pc.set.SetTest.set)
N	SetTest.java	30	field-get(pc.set.SetTest.n)
N	SetTest.java	30	field-set(pc.set.SetTest.barrier)
N	SetTest.java	31	field-get(pc.set.SetTest.n)
N	SetTest.java	33	Thread.start()
N	SetTest.java	35	field-get(pc.set.SetTest.barrier)
N	SetTest.java	36	field-get(pc.set.SetTest.barrier)
N	SetTest.java	37	field-get(pc.set.SetTest.barrier)
N	SetTest.java	38	field-get(pc.set.SetTest.expectedSetSize)
N	SetTest.java	38	field-get(pc.set.SetTest.set)
N	SetTest.java	38	java.util.concurrent.atomic.AtomicInteger.get()
N	SetTest.java	39	field-get(System.out)
N	SetTest.java	39	field-get(pc.set.SetTest.expectedSetSize)
N	SetTest.java	39	field-get(pc.set.SetTest.set)
N	SetTest.java	39	java.util.concurrent.atomic.AtomicInteger.get()
N	SetTest.java	40	field-get(pc.set.SetTest.errors)
N	SetTest.java	40	java.util.concurrent.atomic.AtomicInteger.incrementAndGet()
N	SetTest.java	42	field-get(pc.set.SetTest.errors)
N	SetTest.java	42	java.util.concurrent.atomic.AtomicInteger.get()
N	SetTest.java	43	field-get(System.out)
N	SetTest.java	45	field-get(System.out)
N	SetTest.java	51	field-get(pc.set.SetTest.barrier)
N	SetTest.java	53	field-get(pc.set.SetTest.N)
N	SetTest.java	54	field-get(pc.set.SetTest.N)
N	SetTest.java	56	field-get(pc.set.SetTest.OPS)
N	SetTest.java	60	field-get(pc.set.SetTest.set)
N	SetTest.java	62	field-get(pc.set.SetTest.set)
N	SetTest.java	64	field-get(pc.set.SetTest.set)
N	SetTest.java	67	field-get(pc.set.SetTest.barrier)
N	SetTest.java	68	field-get(pc.set.SetTest.expectedSetSize)
N	SetTest.java	68	java.util.concurrent.atomic.AtomicInteger.getAndAdd(int)
N	SetTest.java	69	<monitorenter>
N	SetTest.java	69	field-get(pc.set.SetTest.PRINT_LOCK)
N	SetTest.java	71	field-get(pc.set.SetTest.set)
N	SetTest.java	72	field-get(System.out)
N	SetTest.java	73	field-get(System.out)
N	SetTest.java	74	field-get(pc.set.SetTest.errors)
N	SetTest.java	74	java.util.concurrent.atomic.AtomicInteger.incrementAndGet()
N	SetTest.java	78	<monitorexit>
N	SetTest.java	79	field-get(pc.set.SetTest.barrier)
N	SetTest.java	85	field-get(System.out)
N	SetTest.java	86	field-get(pc.set.SetTest.barrier)
